name,genre,type,episodes,members,rating
Mushishi Special: Hihamukage,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1.0,49036,8.66
Boku dake ga Inai Machi,"Mystery, Psychological, Seinen, Supernatural",TV,12.0,402381,8.65
Yojouhan Shinwa Taikei,"Mystery, Psychological, Romance",TV,11.0,122531,8.65
Aria The Origination,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,13.0,56162,8.64
Kamisama Hajimemashita: Kako-hen,"Comedy, Demons, Fantasy, Shoujo, Supernatural",OVA,4.0,33422,8.64
Rainbow: Nisha Rokubou no Shichinin,"Drama, Historical, Seinen, Thriller",TV,26.0,139474,8.64
Re:Zero kara Hajimeru Isekai Seikatsu,"Drama, Fantasy, Psychological, Thriller",TV,25.0,355839,8.64
Tengen Toppa Gurren Lagann Movie: Lagann-hen,"Action, Mecha, Sci-Fi, Space, Super Power",Movie,1.0,82253,8.64
Zoku Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13.0,114173,8.64
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Drama, Slice of Life, Supernatural",TV,11.0,463835,8.62
Kuroko no Basket 3rd Season,"Comedy, School, Shounen, Sports",TV,25.0,184525,8.62
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,"Sci-Fi, Thriller",Movie,1.0,192424,8.61
Hotarubi no Mori e,"Drama, Romance, Shoujo, Supernatural",Movie,1.0,197439,8.61
Shokugeki no Souma,"Ecchi, School, Shounen",TV,24.0,348951,8.61
Yuri!!! on Ice,"Comedy, Sports",TV,12.0,103178,8.61
Gintama: Yorinuki Gintama-san on Theater 2D,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,2.0,11104,8.6
JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,"Action, Adventure, Drama, Shounen, Supernatural",TV,24.0,93657,8.6
Gintama Movie: Shinyaku Benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1.0,51185,8.59
Hellsing Ultimate,"Action, Horror, Military, Seinen, Supernatural, Vampire",OVA,10.0,297454,8.59
Kiseijuu: Sei no Kakuritsu,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",TV,24.0,425457,8.59
Shouwa Genroku Rakugo Shinjuu,"Drama, Historical, Josei",TV,13.0,71295,8.59
Uchuu Kyoudai,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",TV,99.0,72958,8.59
Bakemono no Ko,"Adventure, Supernatural",Movie,1.0,80825,8.58
Hotaru no Haka,"Drama, Historical",Movie,1.0,174878,8.58
Kuroko no Basket 2nd Season,"Comedy, School, Shounen, Sports",TV,25.0,243325,8.58
Major S5,"Comedy, Drama, Romance, Sports",TV,25.0,28653,8.58
One Piece,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",TV,1.0,504862,8.58
Ghost in the Shell: Stand Alone Complex 2nd GIG,"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen",TV,26.0,113993,8.57
JoJo no Kimyou na Bouken: Diamond wa Kudakenai,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",TV,39.0,74074,8.57
Kara no Kyoukai 7: Satsujin Kousatsu (Kou),"Action, Mystery, Romance, Supernatural, Thriller",Movie,1.0,95658,8.57
Kingdom 2nd Season,"Action, Historical, Military, Seinen",TV,39.0,31234,8.57
Slam Dunk,"Comedy, Drama, School, Shounen, Sports",TV,101.0,82570,8.56
Usagi Drop,"Josei, Slice of Life",TV,11.0,194855,8.56
Girls und Panzer der Film,"Military, School",Movie,1.0,25641,8.55
Mob Psycho 100,"Action, Comedy, Slice of Life, Supernatural",TV,12.0,193716,8.55
Nana,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",TV,47.0,197256,8.55
Baccano!,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",TV,13.0,363215,8.54
Mushishi Zoku Shou: Odoro no Michi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1.0,34011,8.54
Shingeki no Kyojin,"Action, Drama, Fantasy, Shounen, Super Power",TV,25.0,896229,8.54
Bakuman. 2nd Season,"Comedy, Drama, Romance, Shounen",TV,25.0,151561,8.53
Cross Game,"Comedy, Drama, Romance, School, Sports",TV,50.0,53108,8.53
Doukyuusei (Movie),"Romance, School, Shounen Ai, Slice of Life",Movie,1.0,28864,8.53
Evangelion: 2.0 You Can (Not) Advance,"Action, Mecha, Sci-Fi",Movie,1.0,182224,8.53
Shinsekai yori,"Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,25.0,288376,8.53
Uchuu Senkan Yamato 2199,"Action, Drama, Military, Sci-Fi, Space",OVA,26.0,44223,8.53
Chihayafuru 2,"Drama, Game, Josei, Slice of Life, Sports",TV,25.0,86074,8.52
Fate/Zero,"Action, Fantasy, Supernatural",TV,13.0,453630,8.51
JoJo no Kimyou na Bouken (TV),"Action, Adventure, Shounen, Supernatural, Vampire",TV,26.0,190197,8.51
Mahou Shoujo Madoka★Magica,"Drama, Magic, Psychological, Thriller",TV,12.0,462974,8.51
Nichijou,"Comedy, School, Slice of Life",TV,26.0,254436,8.52
Psycho-Pass,"Action, Police, Psychological, Sci-Fi",TV,22.0,509109,8.5
Barakamon,"Comedy, Slice of Life",TV,12.0,225927,8.5
Diamond no Ace: Second Season,"Comedy, School, Shounen, Sports",TV,51.0,38531,8.5
Magi: The Kingdom of Magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25.0,245026,8.5
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1.0,135735,8.5
Major: World Series,"Comedy, Drama, Sports",OVA,2.0,13405,8.5
Samurai Champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,26.0,390076,8.5
Shokugeki no Souma: Ni no Sara,"Ecchi, School, Shounen",TV,13.0,185015,8.5
Katanagatari,"Action, Adventure, Historical, Martial Arts, Romance",TV,12.0,207241,8.49
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1.0,85361,8.49
Major S6,"Comedy, Drama, Sports",TV,25.0,24788,8.49
Mononoke,"Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural",TV,12.0,88850,8.49
Shirobako,"Comedy, Drama",TV,24.0,146895,8.49
Ashita no Joe 2,"Drama, Sports",TV,47.0,6259,8.48
Hunter x Hunter,"Action, Adventure, Shounen, Super Power",TV,62.0,166255,8.48
Noragami Aragoto,"Action, Adventure, Shounen, Supernatural",TV,13.0,299434,8.48
Sakamichi no Apollon,"Drama, Josei, Music, Romance, School",TV,12.0,146592,8.48
Tonari no Totoro,"Adventure, Comedy, Supernatural",Movie,1.0,271484,8.48
Ghost in the Shell: Stand Alone Complex,"Action, Mecha, Military, Police, Sci-Fi, Seinen",TV,26.0,194491,8.47
Kaze no Tani no Nausicaä,"Adventure, Fantasy",Movie,1.0,143273,8.47
No Game No Life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",TV,12.0,602291,8.47
Romeo no Aoi Sora,"Adventure, Drama, Historical, Slice of Life",TV,33.0,15074,8.47
Yuu☆Yuu☆Hakusho,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",TV,112.0,195017,8.47
Kino no Tabi: The Beautiful World,"Action, Adventure, Slice of Life",TV,13.0,102822,8.46
Kuroko no Basket,"Comedy, School, Shounen, Sports",TV,25.0,338315,8.46
Nodame Cantabile,"Comedy, Drama, Josei, Music, Romance, Slice of Life",TV,23.0,157025,8.46
Ookami to Koushinryou II,"Adventure, Fantasy, Historical, Romance",TV,12.0,210491,8.46
Shingeki no Kyojin: Kuinaki Sentaku,"Action, Fantasy, Shoujo, Supernatural",OVA,2.0,92543,8.45
Steins;Gate: Oukoubakko no Poriomania,"Sci-Fi, Thriller",Special,1.0,159548,8.46
Fate/stay night: Unlimited Blade Works 2nd Season,"Action, Fantasy, Magic, Shounen, Supernatural",TV,13.0,205987,8.45
Kemono no Souja Erin,"Drama, Fantasy",TV,50.0,36751,8.45
Kizumonogatari I: Tekketsu-hen,"Mystery, Supernatural, Vampire",Movie,1.0,99579,8.45
Neon Genesis Evangelion: The End of Evangelion,"Dementia, Drama, Mecha, Psychological, Sci-Fi",Movie,1.0,215630,8.45
Toradora!,"Comedy, Romance, School, Slice of Life",TV,25.0,633817,8.45
Toki wo Kakeru Shoujo,"Adventure, Drama, Romance, Sci-Fi",Movie,1.0,289206,8.44
Tsubasa: Tokyo Revelations,"Action, Adventure, Drama, Fantasy, Romance, Shounen",OVA,3.0,57963,8.44
Owarimonogatari,"Comedy, Mystery, Supernatural",TV,12.0,107855,8.43
Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai",TV,94.0,218928,8.43
Stranger: Mukou Hadan,"Action, Adventure, Historical, Samurai",Movie,1.0,125503,8.43
Detective Conan Movie 06: The Phantom of Baker Street,"Adventure, Mystery, Police, Shounen",Movie,1.0,28462,8.42
Fate/stay night: Unlimited Blade Works,"Action, Fantasy, Magic, Shounen, Supernatural",TV,12.0,267484,8.42
Major S1,"Comedy, Drama, Shounen, Sports",TV,26.0,41061,8.42
Mobile Suit Gundam: The Origin,"Action, Mecha, Military, Sci-Fi, Shounen, Space",OVA,6.0,15420,8.42
Nanatsu no Taizai,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",TV,24.0,331627,8.42
Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13.0,210736,8.42
One Piece Film: Strong World,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1.0,85020,8.42
Higurashi no Naku Koro ni Kai,"Mystery, Psychological, Supernatural, Thriller",TV,24.0,218101,8.41
Hunter x Hunter OVA,"Action, Adventure, Shounen, Super Power",OVA,8.0,53168,8.41
Hunter x Hunter: Greed Island Final,"Action, Adventure, Shounen, Super Power",OVA,14.0,55787,8.41
Kuroshitsuji: Book of Murder,"Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural",OVA,2.0,67261,8.41
Major S2,"Comedy, Drama, Shounen, Sports",TV,26.0,30689,8.41
One Outs,"Psychological, Seinen, Sports",TV,25.0,83056,8.41
Beck,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26.0,148328,8.4
Berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25.0,226430,8.4
Cowboy Bebop: Tengoku no Tobira,"Action, Drama, Mystery, Sci-Fi, Space",Movie,1.0,137636,8.4
Major S3,"Drama, Shounen, Sports",TV,26.0,29528,8.4
Mobile Suit Gundam Unicorn,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,7.0,42076,8.4
Natsume Yuujinchou: Itsuka Yuki no Hi ni,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",OVA,1.0,28302,8.4
NHK ni Youkoso!,"Comedy, Drama, Psychological, Romance",TV,24.0,291228,8.4
Rose of Versailles,"Adventure, Drama, Historical, Romance, Shoujo",TV,40.0,32188,8.4
Sakurasou no Pet na Kanojo,"Comedy, Drama, Romance, School, Slice of Life",TV,24.0,380375,8.4
Angel Beats!,"Action, Comedy, Drama, School, Supernatural",TV,13.0,717796,8.39
Bakemonogatari,"Mystery, Romance, Supernatural, Vampire",TV,15.0,482268,8.39
Bungou Stray Dogs 2nd Season,"Mystery, Seinen, Supernatural",TV,12.0,83641,8.39
Hajime no Ippo: Champion Road,"Comedy, Shounen, Sports",Special,1.0,47840,8.39
One Piece Film: Z,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1.0,76051,8.39
Ouran Koukou Host Club,"Comedy, Harem, Romance, School, Shoujo",TV,26.0,422271,8.39
Detective Conan Movie 13: The Raven Chaser,"Action, Mystery, Police, Shounen",Movie,1.0,21798,8.38
Durarara!!,"Action, Mystery, Supernatural",TV,24.0,556431,8.38
Nodame Cantabile Finale,"Comedy, Josei, Music, Romance",TV,11.0,67697,8.38
Planetes,"Drama, Romance, Sci-Fi, Seinen, Space",TV,26.0,105044,8.38
Shelter,"Music, Sci-Fi",Music,1.0,71136,8.38
Tenkuu no Shiro Laputa,"Adventure, Fantasy, Romance, Sci-Fi",Movie,1.0,151061,8.38
Gintama: Shiroyasha Koutan,"Action, Comedy, Historical, Parody, Sci-Fi",Special,1.0,27213,8.37
Hachimitsu to Clover II,"Drama, Josei, Romance",TV,12.0,61493,8.37
InuYasha: Kanketsu-hen,"Action, Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural",TV,26.0,99128,8.37
Kaguya-hime no Monogatari,"Fantasy, Historical",Movie,1.0,45547,8.37
Katekyo Hitman Reborn!,"Action, Comedy, Shounen, Super Power",TV,203.0,258103,8.37
Kuroshitsuji: Book of Circus,"Comedy, Demons, Fantasy, Historical, Shounen, Supernatural",TV,10.0,122895,8.37
Ookami to Koushinryou,"Adventure, Fantasy, Historical, Romance",TV,13.0,334932,8.37
Boku no Hero Academia,"Action, Comedy, School, Shounen, Super Power",TV,13.0,282002,8.36
Gin no Saji 2nd Season,"Comedy, School, Shounen, Slice of Life",TV,11.0,67032,8.36
Little Busters!: Refrain,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,13.0,71820,8.36
Major: Message,"Comedy, Drama, Sports",OVA,1.0,12282,8.36
Saint Seiya: The Lost Canvas - Meiou Shinwa 2,"Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural",OVA,13.0,27532,8.36
SKET Dance,"Comedy, School, Shounen",TV,77.0,101027,8.36
Bakuman.,"Comedy, Romance, Shounen",TV,25.0,246899,8.35
Danshi Koukousei no Nichijou,"Comedy, School, Shounen, Slice of Life",TV,12.0,258914,8.35
Kotonoha no Niwa,"Drama, Psychological, Romance, Slice of Life",Movie,1.0,189741,8.35
Kyoukai no Kanata Movie: I&#039;ll Be Here - Mirai-hen,"Fantasy, Slice of Life, Supernatural",Movie,1.0,59815,8.35
Major S4,"Comedy, Drama, Shounen, Sports",TV,26.0,28002,8.35
Omoide no Marnie,"Drama, Mystery, Psychological",Movie,1.0,53590,8.35
Working!!!: Lord of the Takanashi,"Comedy, Romance, Slice of Life",Special,1.0,31856,8.34
Ghost in the Shell,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1.0,223036,8.34
K-On! Movie,"Comedy, Music, Slice of Life",Movie,1.0,115252,8.34
Kuroko no Basket: Saikou no Present Desu,"Action, School, Shounen, Sports",Special,1.0,22900,8.34
Mahou Shoujo Lyrical Nanoha: The Movie 2nd A&#039;s,"Action, Comedy, Drama, Magic, Super Power",Movie,1.0,13315,8.34
Sennen Joyuu,"Action, Adventure, Drama, Fantasy, Historical, Romance",Movie,1.0,58492,8.34
Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,"Sci-Fi, Thriller",Special,1.0,38147,8.34
xxxHOLiC Kei,"Comedy, Drama, Mystery, Psychological, Supernatural",TV,13.0,74941,8.34
Berserk: Ougon Jidai-hen III - Kourin,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Seinen, Supernatural",Movie,1.0,65594,8.33
Death Parade,"Drama, Game, Mystery, Psychological, Thriller",TV,12.0,383914,8.33
Fullmetal Alchemist,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,51.0,600384,8.33
Gyakkyou Burai Kaiji: Ultimate Survivor,"Game, Psychological, Seinen, Thriller",TV,26.0,98996,8.33
Hunter x Hunter: Greed Island,"Action, Adventure, Shounen, Super Power",OVA,8.0,57029,8.33
Redline,"Action, Cars, Sci-Fi, Sports",Movie,1.0,109392,8.33
Chihayafuru,"Drama, Game, Josei, Slice of Life, Sports",TV,25.0,158561,8.32
Detective Conan Movie 20: The Darkest Nightmare,"Action, Mystery, Police, Shounen",Movie,1.0,6229,8.32
Dragon Ball Z,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,291.0,375662,8.32
Fate/stay night: Unlimited Blade Works - Prologue,"Action, Fantasy, Magic, Shounen, Supernatural",Special,1.0,106382,8.32
Kokoro ga Sakebitagatterunda.,"Drama, Romance, School",Movie,1.0,59652,8.32
Mimi wo Sumaseba,"Adventure, Drama, Fantasy, Romance, Slice of Life",Movie,1.0,94435,8.32
Nagi no Asukara,"Drama, Fantasy, Romance",TV,26.0,224947,8.32
Neon Genesis Evangelion,"Action, Dementia, Drama, Mecha, Psychological, Sci-Fi",TV,26.0,461946,8.32
One Piece Film: Gold,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1.0,18642,8.32
Tokyo Godfathers,"Comedy, Drama",Movie,1.0,89424,8.32
Trigun,"Action, Comedy, Sci-Fi",TV,26.0,283069,8.32
xxxHOLiC Rou,"Mystery, Supernatural",OVA,2.0,36353,8.32
Gintama: Shinyaku Benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Special,1.0,14002,8.31
Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1.0,88164,8.31
Sekaiichi Hatsukoi 2,"Comedy, Drama, Romance, Shounen Ai",TV,12.0,69253,8.31
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,"Comedy, Drama, Romance, School",TV,13.0,222994,8.31
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,"Comedy, Romance, School",OVA,1.0,35120,8.31
Aria The Natural,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,26.0,39596,8.3
Black Lagoon: The Second Barrage,"Action, Seinen",TV,12.0,203233,8.3
Clannad,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,23.0,566690,8.3
Kami nomi zo Shiru Sekai: Megami-hen,"Comedy, Harem, Romance, Shounen, Supernatural",TV,12.0,142612,8.3
Summer Wars,"Comedy, Sci-Fi",Movie,1.0,223359,8.3
Baccano! Specials,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",Special,3.0,100412,8.29
Detective Conan Movie 14: The Lost Ship in the Sky,"Action, Mystery, Police, Shounen",Movie,1.0,20602,8.29
Gyakkyou Burai Kaiji: Hakairoku-hen,"Game, Psychological, Seinen, Thriller",TV,26.0,55566,8.29
Initial D Final Stage,"Cars, Seinen, Sports",TV,4.0,19702,8.29
Kaiba,"Adventure, Mystery, Romance, Sci-Fi",TV,12.0,56927,8.29
One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",Special,1.0,17247,8.29
Saiki Kusuo no Ψ-nan (TV),"Comedy, School, Shounen, Supernatural",TV,120.0,47092,8.29
Cardcaptor Sakura Movie 2: Fuuin Sareta Card,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo",Movie,1.0,60637,8.28
Hajime no Ippo: Mashiba vs. Kimura,"Comedy, Shounen, Sports",OVA,1.0,40623,8.28
Kamisama Hajimemashita◎,"Comedy, Demons, Fantasy, Romance, Shoujo, Supernatural",TV,12.0,91796,8.28
Skip Beat!,"Comedy, Drama, Romance, Shoujo",TV,25.0,134818,8.28
Yowamushi Pedal: Grande Road,"Comedy, Drama, Shounen, Sports",TV,24.0,50778,8.28
Gankutsuou,"Drama, Mystery, Sci-Fi, Supernatural, Thriller",TV,24.0,103828,8.27
Majo no Takkyuubin,"Adventure, Comedy, Drama, Fantasy, Magic, Romance",Movie,1.0,152331,8.27
Nodame Cantabile: Paris-hen,"Comedy, Josei, Music, Romance, Slice of Life",TV,11.0,70822,8.27
One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",Special,1.0,24707,8.27
Osomatsu-san,"Comedy, Parody",TV,25.0,60988,8.27
Space☆Dandy 2nd Season,"Comedy, Sci-Fi, Space",TV,13.0,60918,8.27
Tsumiki no Ie,Drama,Movie,1.0,45189,8.27
Detroit Metal City,"Comedy, Music",OVA,12.0,104893,8.26
Eve no Jikan,"Sci-Fi, Slice of Life",ONA,6.0,99074,8.26
Eve no Jikan (Movie),"Sci-Fi, Slice of Life",Movie,1.0,66376,8.26
Kaichou wa Maid-sama!,"Comedy, Romance, School, Shoujo",TV,26.0,391628,8.26
Saint Seiya: Meiou Hades Juuni Kyuu-hen,"Adventure, Sci-Fi, Shounen",OVA,13.0,23701,8.26
Zankyou no Terror,"Psychological, Thriller",TV,11.0,342893,8.26
Darker than Black: Kuro no Keiyakusha,"Action, Mystery, Sci-Fi, Super Power",TV,25.0,440334,8.25
Detective Conan,"Adventure, Comedy, Mystery, Police, Shounen",TV,1.0,114702,8.25
Detective Conan Movie 05: Countdown to Heaven,"Adventure, Comedy, Mystery, Police, Shounen",Movie,1.0,25432,8.25
Diamond no Ace,"Comedy, School, Shounen, Sports",TV,75.0,81384,8.25
Fairy Tail (2014),"Action, Adventure, Comedy, Fantasy, Magic, Shounen",TV,102.0,255076,8.25
Hibike! Euphonium 2,"Drama, Music, School",TV,13.0,47716,8.25
JoJo no Kimyou na Bouken: Stardust Crusaders,"Action, Adventure, Drama, Shounen, Supernatural",TV,24.0,120089,8.25
Maison Ikkoku,"Comedy, Drama, Romance, Slice of Life",TV,96.0,22079,8.25
Non Non Biyori Repeat,"Comedy, School, Seinen, Slice of Life",TV,12.0,64230,8.26
Shijou Saikyou no Deshi Kenichi,"Action, Comedy, Martial Arts, School, Shounen",TV,50.0,129112,8.25
Yuusha-Ou GaoGaiGar Final,"Adventure, Drama, Mecha, Sci-Fi, Shounen",OVA,8.0,5001,8.25
Gekkan Shoujo Nozaki-kun,"Comedy, Romance, School",TV,12.0,292622,8.24
Initial D Fourth Stage,"Action, Cars, Drama, Seinen, Sports",TV,24.0,41584,8.24
Junjou Romantica 2,"Comedy, Drama, Romance, Shounen Ai",TV,12.0,87617,8.24
Kaze Tachinu,"Drama, Historical, Romance",Movie,1.0,75359,8.24
Kingdom,"Action, Historical, Military, Seinen",TV,38.0,54211,8.24
Kuragehime,"Comedy, Josei, Slice of Life",TV,11.0,108053,8.24
Magi: The Labyrinth of Magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25.0,317513,8.24
Mobile Suit Gundam 00,"Action, Drama, Mecha, Military, Sci-Fi, Space",TV,25.0,120351,8.24
ReLIFE,"Romance, School, Slice of Life",TV,13.0,202249,8.24
